country,medianIncomeByCountry_meanIncome,InternetTrafficPercofResidentsWithInternetAccess
India,1314,59.5
China,4246,69.8
United States of America,31974,93.4
Pakistan,1797,50.9
Nigeria,1021,73.0
Brazil,7001,
Bangladesh,1414,77.2
Russia,11709,85.3
Ethiopia,1107,17.7
Mexico,5099,84.2
Japan,18162,93.3
Philippines,3219,91.0
Egypt,1847,51.9
Dem. Rep. Congo,548,17.4
Vietnam,3881,86.0
Iran,5924,91.0
Turkey,7267,84.5
Germany,24046,94.0
Thailand,5670,30.4
Tanzania,992,37.6
United Kingdom,20035,95.0
France,20951,92.2
South Africa,4081,57.5
Italy,18162,90.8
Kenya,1197,85.2
Myanmar,2296,51.9
Colombia,5168,83.9
South Korea,15772,97.0
Uganda,1166,39.3
Sudan,1592,29.2
Spain,17155,93.0
Iraq,2293,74.3
Algeria,2996,83.8
Argentina,9041,91.6
Poland,12932,91.5
Canada,23991,97.0
Morocco,3721,68.5
Ukraine,5010,94.5
Angola,1066,26.0
Uzbekistan,752,50.1
Yemen,1503,27.0
Mozambique,947,20.3
Ghana,2422,45.9
Peru,4413,87.8
Malaysia,11976,93.8
Nepal,1428,73.0
Madagascar,567,10.1
Ivory Coast,1358,44.6
Venezuela,3741,78.7
Cameroon,1841,33.1
Niger,937,13.4
Australia,23583,90.0
Syria,2606,46.6
Mali,861,59.8
Taiwan,16713,94.8
Burkina Faso,1002,21.0
Sri Lanka,3162,41.2
Malawi,733,13.8
Zambia,1045,52.2
Kazakhstan,4313,86.0
Chile,9304,97.2
Romania,8786,78.0
Chad,1182,13.0
Ecuador,5548,87.2
Guatemala,3431,58.2
Senegal,1137,56.7
Netherlands,23422,95.3
Zimbabwe,1429,55.7
Guinea,1036,18.6
Rwanda,925,45.1
Benin,989,30.0
Burundi,640,12.8
Bolivia,7136,74.6
Tunisia,4076,68.4
Haiti,1540,35.0
Belgium,21444,92.0
Dominican Rep.,5125,77.0
Jordan,4025,83.9
S. Sudan,1121,7.9
Honduras,3694,54.4
Sweden,21466,97.3
Papua New Guinea,1162,11.9
Czech Republic,14615,86.8
Azerbaijan,3851,85.0
Tajikistan,2437,30.4
Greece,10516,78.5
Portugal,13352,88.1
Hungary,10921,89.3
United Arab Emirates,28755,120.7
Belarus,7359,85.0
Israel,14950,90.0
Togo,964,11.9
Sierra Leone,1004,12.8
Austria,24214,88.0
Switzerland,28142,96.2
Laos,1389,57.5
Nicaragua,4278,63.3
Serbia,7019,78.0
Paraguay,6738,84.9
Kyrgyzstan,2235,55.0
Bulgaria,11271,70.0
Turkmenistan,963,25.3
El Salvador,4782,74.9
Congo,1375,16.2
Denmark,23550,97.7
Central African Rep.,891,11.2
Slovakia,9505,90.0
Finland,21469,94.1
Liberia,945,14.9
Norway,27032,98.1
Costa Rica,8928,85.6
Lebanon,9091,84.0
Ireland,21177,92.0
Mauritania,2094,20.3
Panama,11268,77.1
Croatia,11056,93.2
Georgia,2814,91.2
Mongolia,3409,89.2
Uruguay,9862,93.4
Moldova,3590,76.3
Bosnia and Herzegovina,7131,87.1
Gambia,1784,19.0
Albania,3979,76.3
Jamaica,4429,68.0
Armenia,2810,77.0
Botswana,2907,51.3
Lithuania,15940,97.8
Namibia,4023,52.1
Gabon,3544,60.0
Lesotho,1659,31.5
Slovenia,16644,87.0
North Macedonia,5457,81.0
Latvia,12958,89.8
Trinidad and Tobago,3711,81.2
Timor-Leste,1147,37.9
Estonia,15637,96.1
Mauritius,4969,72.2
Cyprus,19319,108.1
Eswatini,2091,56.4
Djibouti,1869,54.3
Fiji,3261,75.8
Comoros,2050,25.4
Guyana,2729,50.5
Bhutan,3189,74.3
Solomon Islands,1333,24.1
Luxembourg,34065,99.0
Suriname,2593,71.9
Montenegro,6194,87.1
Malta,20801,107.9
Maldives,6435,80.2
Belize,3246,74.5
Iceland,22988,99.6
Vanuatu,1781,35.0
Sao Tome and Principe,1620,28.6
Samoa,3418,67.2
Saint Lucia,7318,79.6
Kiribati,1858,49.9
Micronesia,1858,48.0
Tonga,3677,74.4
Seychelles,8121,72.1
Tuvalu,2802,53.2
Saudi Arabia,2666,98
Indonesia,818,76.3
New Zealand,3835,93.4
Libya,300,94.8
Somalia,600,12.8
Cuba,104,74
Greenland,2040,91.3
Cambodia,200,81.1
